filepath,pii_types_found
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractNegotiationTerminationMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractOfferMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-negotiation/dsp-negotiation-transform/src/main/java/org/eclipse/edc/protocol/dsp/negotiation/transform/to/JsonObjectToContractRequestMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-api/src/main/java/org/eclipse/edc/protocol/dsp/transferprocess/api/controller/DspTransferProcessApiController.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-api/src/test/java/org/eclipse/edc/protocol/dsp/transferprocess/api/validation/TransferCompletionMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-api/src/test/java/org/eclipse/edc/protocol/dsp/transferprocess/api/validation/TransferRequestMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-api/src/test/java/org/eclipse/edc/protocol/dsp/transferprocess/api/validation/TransferStartMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-api/src/test/java/org/eclipse/edc/protocol/dsp/transferprocess/api/validation/TransferTerminationMessageValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-transform/src/main/java/org/eclipse/edc/protocol/dsp/transferprocess/transformer/type/to/JsonObjectToTransferCompletionMessageTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/data-protocols/dsp/dsp-transfer-process/dsp-transfer-process-transform/src/main/java/org/eclipse/edc/protocol/dsp/transferprocess/transformer/type/to/JsonObjectToTransferRequestMessageTransformer.java,[IP_ADDRESS_6A]
